trip,date,plot,plantID,code,genus,epithet,page,cii,lblade,phylotax,phylotax2,growth,btype,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,nl,np,lhm,ldm,rhs,rhf,phm,pdm,tl,td,tv,ttype,thm,tdm,il1,il2,il3,il4,il5,tl1,tl2,tl3,tl4,tl5,canopy,sf,obs,count.,check.ID.,dbh0
4,2/9/16,360X200,141296,MANHUB,Manilkara,huberi,4,1.5,simple,alternate,spiral,cont,vertical,2647,10,1750,-10,2087,-48,230,252,131,-26,187,139,5,5,1545,707,1011,2110,162,57,95,638,333,branch,380,196,39.042,39.934,38.005,36.206,37.833,23.266,21.424,11.362,14.414,19.308,,N ,luz: first 4 measurements dropped,,,10
4,2/9/16,340X200,131442,PROOPA,Protium,opacum,4,1,odd-pinnate,alternate,both,cont,both,2322,40,1947,-10,1756,112,327,328,284,119,168,125,1.5,3,787,409,1011,1835,247,102,112,538,301,branch,333,158,29.959,29.398,29.887,28.433,26.274,19.005,17.897,17.998,15.853,19.466,,N ,,,,20
4,2/9/16,340X200,131451,PRODEC,Protium,decandrum,4,2,odd-pinnate,alternate,spiral,cont,vertical,3053,10,2565,-10,2332,60,413,422,409,343,138,133,0.5,1,421,222,1011,1738,132,53,88,268,72,petiole,76,28,33.96,33.788,33.341,33.313,34.766,20.805,22.244,20.992,21.668,22.316,,N ,altura da 1 bif na verdade eh de 3.65; luz: one extra measurement dropped,,,22
4,2/9/16,340X240,131719,SIPCUS,Siparuna,cuspidata,4,1,simple,opposite,distic,cont,down-arched,2478,10,2123,-10,1521,179,235,266,214,165,235,193,5,5,284,95,1011,2226,8,2,100,739,453,branch,544,292,23.338,22.474,20.689,21.28,23.554,13.867,15.076,13.723,15.177,14.097,,N ,apice termina encurvado para baixo,,,16
4,2/9/16,340X240,131725,RINAMA,Rinorea,amapensis,4,1,simple,opposite,distic,cont,vertical,1457,10,1308,-10,1132,72,72,155,102,91,169,125,5,5,237,91,1011,2223,7,2,107,461,192,branch,228,123,24.144,24.029,22.445,23.021,22.762,16.17,15.249,12.715,12.528,14.327,,N ,apice termina em varios ramos (inclinados em varios angulos); a medida da altura do caule pode estar errada (talvez repetida da medida da 1 bif),,,10
4,2/9/16,340X240,131672,ZYGJUR,Zygia,juruana,4,1,geminate-pinnate,alternate,both,cont,both,1586,20,1119,-10,852,134,147,181,142,138,90,83,1,1,838,387,1011,2157,181,87,92,481,188,branch,227,135,22.388,21.855,24.633,23.727,22.143,23.755,19.121,20.963,15.81,18.228,,N ,,,,10
NA,2/9/16,340X240,131711,DUGAST,Duguetia,asterotricha,4,1,simple,alternate,distic,cont,horizontal,2046,10,1432,-10,1236,27,78,90,56,31,97,84,5,5,1156,511,1011,1950,43,16,94,516,247,branch,248,94,19.106,20.891,21.265,22.129,21.884,10.988,14.299,8.239,8.786,7.692,,N ,ramos inclinados a 30 graus,,,12
4,2/9/16,340X220,131463,RYASPE,Ryania,speciosa,5,1.5,simple,alternate,distic,cont,horizontal,2237,30,1915,-10,1326,113,190,209,165,91,195,161,10,10,685,292,1011,1901,19,NA,107,349,116,branch,136,62,14.598,14.325,16.253,16.124,15.49,8.7974,10.107,7.1565,7.9914,9.2436,,N ,luz: b-file,,,12
4,2/9/16,340X220,131486,STEDUC,Sterculia,dukei/parviflora/pruriens PP,5,1.5,simple,alternate,spiral,cont,both,2897,10,1903,-10,1172,214,276,292,249,215,116,127,5,5,1145,510,1011,1930,261,90,100,523,270,branch,290,109,22.831,22.011,20.269,22.759,23.018,15.26,12.353,12.972,15.231,14.411,,N ,possui espessa mucilagem no caule,,,16
4,2/9/16,340X220,131552,MOUEUG,Mouriri,eugeniaefolia/nervosa.FITO,5,1,simple,opposite,distic,cont,down-arched,2745,10,2253,-10,2062,103,236,242,214,97,291,210,4,4,2930,1386,1011,2205,23,10,121,663,350,branch,419,262,31.341,31.038,30.434,31.182,28.592,9.2897,10.081,10.441,8.0087,7.4186,,N ,tiers de 4 ramos; caule descamante; luz: b-file (a-file complete),,,17
4,2/9/16,340X220,131571,HIRMYR,Hirtella,myrmecophila,5,1,simple,alternate,distic,cont,down-arched,2085,10,1314,-10,1594,-80,207,231,183,163,202,131,5,5,687,343,1011,2234,27,11,117,430,195,branch,225,131,22.287,26.245,26.058,24.792,23.827,12.514,17.278,11.967,12.989,14.572,,N ,apice do caule termina curvo; luz: b-file,,,12
4,2/9/16,320X220,121655,RINAMA,Rinorea,amapensis,5,1,simple,opposite,distic,cont,horizontal,1694,10,1249,-10,1061,99,169,171,105,78,172,161,5,5,291,114,1011,2217,6,1,94,500,190,branch,224,120,0.30002,0.25684,0.44395,0.30002,0.28562,0.30002,0.18487,0.22805,0.069719,0.32881,,R ,tiers; luz: b-file,,,11
4,2/9/16,320X220,121664,MINGUI,Minquartia,guianensis,5,1,simple,alternate,distic,cont,horizontal,2075,10,1838,-10,1514,95,235,244,158,93,149,174,5,5,520,239,1011,1945,28,9,98,549,275,branch,335,191,0.40077,0.42956,0.44395,0.40077,0.38638,1.322,0.31441,0.31441,0.41517,0.31441,,R ,,,checked,17
4,2/9/16,,121940,MABSPE,Mabea,speciosa,5,1.5,simple,alternate,distic,rhitmic,down-arched,1911,10,1508,-10,793,102,158,164,140,106,135,91,5,5,573,235,1011,2230,20,5,101,312,84,branch,95,45,17.681,17.48,15.94,15.321,15.206,15.335,11.506,11.837,10.47,12.687,,N ,tiers de 4 ramos; arquitetura tipo Theobroma,,checked,12
4,2/9/16,340X240,131868,HEVGUI,Hevea,guianensis,6,1,trifoliate,alternate,spiral,rhitmic,without,2576,10,2037,-10,837,275,291,315,308,283,NA,NA,1,1,1338,519,1011,2142,303,115,94,416,180,petiole,146,50,14.644,14.702,14.5,14.371,14.615,10.067,11.593,12.759,11.377,12.5,,N ,,,YES,19
4,2/9/16,340X240,131776,MINGUI,Minquartia,guianensis,6,1.5,simple,alternate,distic,cont,horizontal,1361,10,1098,-10,841,83,144,149,132,95,126,37,5,5,845,434,1011,2241,62,25,88,446,140,branch,168,94,9.2034,8.5557,9.3905,10.326,10.715,9.8799,9.4768,8.167,8.0807,7.3322,,N ,,,,10
