Family,Genus,epithet,q975,q975F,finalType
Peraceae,Pera,glabrata,16.75,21.925,subcanopy
Myrtaceae,Eugenia,longiracemosa,16.02,NA,subcanopy
Sapotaceae,Pouteria,manaosensis,10.02,24,subcanopy
Chrysobalanaceae,Licania,micrantha,5.69,21.75,subcanopy
Lauraceae,Aniba,panurensis,8.48,17.85,subcanopy
Fabaceae,Ormosia,paraensis,6.755,22.75,subcanopy
Fabaceae,Vatairea,paraensis,5.35,17.7,subcanopy
Burseraceae,Protium,robustum,6.31,15.6,subcanopy
Meliaceae,Guarea,silvatica,6.83,15.7,subcanopy
Nyctaginaceae,Neea,stellulata,15.5625,20,subcanopy
Opiliaceae,Agonandra,sylvatica,12.9125,18.55,subcanopy
Lecythidaceae,Couratari,tauari,9.38,17.1,subcanopy
Moraceae,Helicostylis,tomentosa,9.33,19,subcanopy
Olacaceae,Heisteria,barbata,4.585,16.5,subcanopy
Meliaceae,Guarea,carinata,6.52,16.8,subcanopy
Fabaceae,Parkia,decussata,8.0225,20.8,subcanopy
Malvaceae,Sterculia,excelsa,14.28,19.875,subcanopy
Burseraceae,Protium,gallosum,5.65,16,subcanopy
Vochysiaceae,Erisma,gracile,9.06,19.925,subcanopy
Apocynaceae,Couma,guianensis,19.6525,10,subcanopy
Lauraceae,Licaria,guianensis,7.86,16.525,subcanopy
Sapotaceae,Pouteria,jariensis,5.13,19,subcanopy
Moraceae,Pseudolmedia,laevigata,14.095,18.85,subcanopy
Myristicaceae,Iryanthera,laevis,6.095,16.5,subcanopy
Lecythidaceae,Eschweilera,micrantha,9.66,24,subcanopy
Sapotaceae,Pouteria,opposita,3.595,19,subcanopy
Fabaceae,Paramachaerium,ormosioides,15.11,20.95,subcanopy
Melastomataceae,Miconia,pyrifolia,4.59,22.05,subcanopy
Meliaceae,Trichilia,rubra,6.76,17.825,subcanopy
Sapotaceae,Micropholis,trunciflora,8.5925,15.875,subcanopy
Apocynaceae,Ambelania,acida,4.2725,16,subcanopy
Sapotaceae,Pouteria,ambelaniifolia,7.105,19.425,subcanopy
Sapotaceae,Sarcaulus,brasiliensis,8.7575,17.15,subcanopy
Clusiaceae,Tovomita,caloneura,5.48,15.875,subcanopy
Myrtaceae,Eugenia,cuspidifolia,5.06,18,subcanopy
Lauraceae,Ocotea,douradensis,9.2825,16.5,subcanopy
Lauraceae,Aniba,ferrea,19.84,16,subcanopy
Elaeocarpaceae,Sloanea,floribunda,7.185,22,subcanopy
Celastraceae,Maytenus,guianensis,18.04,NA,subcanopy
Fabaceae,Hymenaea,intermedia,6.165,25.475,subcanopy
Fabaceae,Inga,lateriflora,3.9975,18,subcanopy
Quiinaceae,Lacunaria,macrostachya,5.2575,16.925,subcanopy
Rubiaceae,Psychotria,mapourioides,4.7,16,subcanopy
Lauraceae,Ocotea,minor,3.7875,19,subcanopy
Myristicaceae,Virola,multinervia,5.975,18.575,subcanopy
Malvaceae,Bombacopsis,nervosa,8.71,18,subcanopy
Melastomataceae,Mouriri,nigra,3.5925,20.725,subcanopy
Fabaceae,Inga,obidensis,14.95,19,subcanopy
Urticaceae,Pourouma,ovata,7.825,15.625,subcanopy
Fabaceae,Stryphnodendron,paniculatum,4.6725,25.4,subcanopy
Fabaceae,Dimorphandra,parviflora,4.47,19,subcanopy
Myrtaceae,Eugenia,patrisii,4.4675,16,subcanopy
Malvaceae,Sterculia,pruriens,18.635,18.8,subcanopy
Chrysobalanaceae,Licania,sandwithii,18.8675,20,subcanopy
Meliaceae,Trichilia,septentrionalis,8.96,16,subcanopy
Chrysobalanaceae,Licania,sprucei,5.0625,19.45,subcanopy
Apocynaceae,Himatanthus,stenophyllus,16.3125,17.9,subcanopy
Fabaceae,Swartzia,tessmannii,4.385,17,subcanopy
Sapotaceae,Pouteria,transparente,16.44,NA,subcanopy
Fabaceae,Diplotropis,triloba,12.675,23,subcanopy
Myrtaceae,Eugenia,agathopoda,4.2,17,subcanopy
Vochysiaceae,Ruizterania,albiflora,20.8875,NA,subcanopy
Chrysobalanaceae,Couepia,caryophylloides,4.6,20,subcanopy
Lauraceae,Ocotea,ceanothifolia,4.6,21.275,subcanopy
Fabaceae,Sclerolobium,chrysophyllum,20.76,21.975,subcanopy
Combretaceae,Buchenavia,congesta,24.3725,16.375,subcanopy
Fabaceae,Abarema,curvicarpa,20.0275,NA,subcanopy
Fabaceae,Platymiscium,duckei,6.045,22.125,subcanopy
Fabaceae,Balizia,elegans,4.8,21.65,subcanopy
Fabaceae,Abarema,floribunda,5.5,16.85,subcanopy
Euphorbiaceae,Alchorneopsis,floribunda,11.7325,21.65,subcanopy
Burseraceae,Trattinnickia,glaziovii,5.5,20.1,subcanopy
Melastomataceae,Miconia,gratissima,4.2,15.9,subcanopy
Fabaceae,Dialium,guianense,9.6075,21,subcanopy
Olacaceae,Dulacia,guianensis,6.515,18,subcanopy
Humiriaceae,Sacoglottis,guianensis,17.0475,19.825,subcanopy
Moraceae,Sorocea,guilleminiana,8.3825,16,subcanopy
Melastomataceae,Mouriri,huberi,5.93,23,subcanopy
Fabaceae,Swartzia,ingifolia,6.16,19.625,subcanopy
Meliaceae,Guarea,kunthiana,3.3,17,subcanopy
Sapotaceae,Pouteria,laevigata,13.065,21,subcanopy
Euphorbiaceae,Croton,lanjouwensis,17.35,20.875,subcanopy
Olacaceae,Heisteria,laxiflora,16.3,19,subcanopy
Elaeocarpaceae,Sloanea,laxiflora,4.5,24,subcanopy
Lauraceae,Ocotea,leucoxylon,9.305,19,subcanopy
Humiriaceae,Vantanea,macrocarpa,21.255,20.5,subcanopy
Sapotaceae,Pouteria,macrophylla,13.885,19.3,subcanopy
Lauraceae,Licaria,martiniana,7.775,16.8,subcanopy
Lauraceae,Ocotea,matogrossensis,3.6,24.35,subcanopy
Annonaceae,Duguetia,megalocarpa,11.325,17,subcanopy
Fabaceae,Abarema,microcalyx,4.5,22.6,subcanopy
Myristicaceae,Virola,mollissima,12.905,17.625,subcanopy
Lauraceae,Ocotea,nigrescens,7.91,20,subcanopy
Fabaceae,Swartzia,oblanceolata,5.5,15.625,subcanopy
Chrysobalanaceae,Licania,occultans,7.2975,20.675,subcanopy
Lauraceae,Licaria,pachycarpa,7.88,19.5,subcanopy
Fabaceae,Peltogyne,paniculata,20.275,23.375,subcanopy
Lecythidaceae,Lecythis,pisonis,5.5,20,subcanopy
Myristicaceae,Iryanthera,polyneura,5.4,16.15,subcanopy
Myrtaceae,Eugenia,pseudopsidium,3.6,24,subcanopy
Moraceae,Maquira,sclerophylla,9.68,24,subcanopy
Sapotaceae,Micropholis,splendens,4.6,25,subcanopy
Lauraceae,Ocotea,splendens,3.9,20.45,subcanopy
Lecythidaceae,Couratari,stellata,3.9,22.825,subcanopy
Sapotaceae,Pouteria,stylifera,5.655,23.975,subcanopy
Chrysobalanaceae,Licania,apetala,6.9,21,subcanopy
Sapindaceae,Matayba,arborescens,6.3,19.9,subcanopy
Arecaceae,Oenocarpus,bataua,12.1,16,subcanopy
Myristicaceae,Virola,caducifolia,19.12,19.875,subcanopy
Lecythidaceae,Lecythis,chartacea,22.6,25,subcanopy
Burseraceae,Protium,crassipetalum,7.7,17.775,subcanopy
Melastomataceae,Mouriri,dimorphandra,22.9,NA,subcanopy
Urticaceae,Cecropia,distachya,5.9,15.9,subcanopy
Malpighiaceae,Byrsonima,duckeana,17.9,11,subcanopy
Malvaceae,Apeiba,echinata,16.9775,23.8,subcanopy
Chrysobalanaceae,Couepia,elata,7,22.8,subcanopy
Moraceae,Helicostylis,elegans,7.3,16.95,subcanopy
Myristicaceae,Iryanthera,elliptica,5.7,21.55,subcanopy
Chrysobalanaceae,Couepia,excelsa,15,20.725,subcanopy
Elaeocarpaceae,Sloanea,excelsa,9.3,18.9,subcanopy
Sapotaceae,Pouteria,flavilatex,13.4,24,subcanopy
Sapotaceae,Pouteria,freitasii,22.9,23,subcanopy
Malvaceae,Sterculia,frondosa,21.28,23,subcanopy
Violaceae,Leonia,glycycarpa,13.2175,16,subcanopy
Lecythidaceae,Couratari,guianensis,9.8,23.25,subcanopy
Simaroubaceae,Simaba,guianensis,14.59,18.625,subcanopy
Sapindaceae,Toulicia,guianensis,17.08,16,subcanopy
Burseraceae,Protium,heptaphyllum,6.2,15.75,subcanopy
Euphorbiaceae,Conceveiba,hostmannii,16.88,25,subcanopy
Aquifoliaceae,Ilex,inundata,20.3,NA,subcanopy
Lecythidaceae,Eschweilera,laevicarpa,18.5,NA,subcanopy
Chrysobalanaceae,Licania,laevigata,17.51,12.925,subcanopy
Chrysobalanaceae,Licania,membranacea,22.36,13.825,subcanopy
Myristicaceae,Virola,michelii,17.5875,22.625,subcanopy
Sapindaceae,Talisia,microphylla,6.675,17.325,subcanopy
Lecythidaceae,Couratari,multiflora,20.58,15,subcanopy
Lauraceae,Aiouea,myristicoides,15.1,17,subcanopy
Lauraceae,Ocotea,oblonga,11.3,25,subcanopy
Urticaceae,Coussapoa,orthoneura,19,17,subcanopy
Chrysobalanaceae,Licania,pallida,14.585,21.65,subcanopy
Fabaceae,Tachigali,paniculata,6.4,15.55,subcanopy
Malvaceae,Sterculia,parviflora,18.23,18,subcanopy
Fabaceae,Inga,pezizifera,9.6,19,subcanopy
Salicaceae,Laetia,procera,23.63,21,subcanopy
Fabaceae,Stryphnodendron,pulcherrimum,11.1,18.75,subcanopy
Lecythidaceae,Eschweilera,rankiniae,6.4,20,subcanopy
Chrysobalanaceae,Licania,rufescens,10.6,20,subcanopy
Chrysobalanaceae,Couepia,sandwithii,9.5,16,subcanopy
Sapindaceae,Matayba,stenodictya,17.7,17.925,subcanopy
Malpighiaceae,Byrsonima,stipulacea,19.595,18,subcanopy
Lauraceae,Mezilaurus,synandra,15.5,17,subcanopy
Combretaceae,Buchenavia,tomentosa,16.4425,20,subcanopy
Fabaceae,Andira,unifoliolata,20.405,24,subcanopy
Fabaceae,Tachigali,venusta,17.495,22,subcanopy
Sapotaceae,Pradosia,verticillata,20.1,14,subcanopy
Sapotaceae,Pouteria,virescens,16.9,22.75,subcanopy
Combretaceae,Buchenavia,viridiflora,12.4,18.8,subcanopy
Apocynaceae,Aspidosperma,williamsii,17.6,21.175,subcanopy
Burseraceae,Protium,pilosissimum,9.715,31.85,emergent
Combretaceae,Buchenavia,grandis,24.5625,35.5,emergent
Lauraceae,Ocotea,canaliculata,8.425,32,emergent
Goupiaceae,Goupia,glabra,26.05,31,emergent
Sapotaceae,Manilkara,huberi,24.94,32,emergent
Anacardiaceae,Anacardium,parvifolium,23.48,30.625,emergent
Apocynaceae,Aspidosperma,carapanauba,31.83,33.675,emergent
Apocynaceae,Aspidosperma,nitidum,30.795,NA,emergent
Caryocaraceae,Caryocar,villosum,28.84,39.4,emergent
Fabaceae,Swartzia,schomburgkii,5.81,32.475,emergent
Caryocaraceae,Caryocar,glabrum,7.6425,34.25,emergent
Fabaceae,Parkia,multijuga,30.95,32.5,emergent
Apocynaceae,Aspidosperma,marcgravianum,13.45,32.2,emergent
Fabaceae,Swartzia,polyphylla,5.25,39.025,emergent
Apocynaceae,Aspidosperma,oblongum,4.2,31,emergent
Fabaceae,Parkia,panurensis,23.4375,31.775,emergent
Fabaceae,Parkia,pendula,25.8925,34,emergent
Lecythidaceae,Lecythis,zabucajo,20.2125,35.6,emergent
Fabaceae,Dinizia,excelsa,34.62,42.95,emergent
Lecythidaceae,Cariniana,micrantha,37.7,31.65,emergent
Caryocaraceae,Caryocar,pallidum,34.735,28.4,emergent
Olacaceae,Minquartia,guianensis,23.93,25.625,canopy
Malvaceae,Scleronema,micranthum,22.4,26,canopy
Sapotaceae,Pouteria,resinosa,16.94,27.1,canopy
Lecythidaceae,Lecythis,prancei,23.675,25.875,canopy
Lecythidaceae,Eschweilera,pseudodecolorans,25.67,28.025,canopy
Apocynaceae,Geissospermum,argenteum,23.6625,27.05,canopy
Sapotaceae,Pouteria,hispida,15.17,27,canopy
Sapotaceae,Chrysophyllum,lucentifolium,16.9775,26.175,canopy
Humiriaceae,Endopleura,uchi,18.91,26.25,canopy
Combretaceae,Buchenavia,parvifolia,14.81,29,canopy
Chrysobalanaceae,Parinari,montana,8.55,27.925,canopy
Solanaceae,Duckeodendron,cestroides,23.9,30,canopy
Fabaceae,Dipteryx,odorata,17.3,28.425,canopy
Fabaceae,Inga,alba,5.3,27,canopy
Moraceae,Brosimum,parinarioides,13.38,26,canopy
Sapotaceae,Chrysophyllum,sparsiflorum,5.91,25.6,canopy
Vochysiaceae,Erisma,bicolor,10.3725,27.025,canopy
Vochysiaceae,Erisma,fuscum,27.04,28.6,canopy
Sapotaceae,Pouteria,guianensis,17.2225,27.95,canopy
Fabaceae,Andira,micrantha,16.03,28.9,canopy
Moraceae,Brosimum,rubescens,23.02,26.15,canopy
Anacardiaceae,Anacardium,spruceanum,21.5375,26,canopy
Sapotaceae,Manilkara,cavalcantei,28.4,NA,canopy
Fabaceae,Tachigali,plumbea,21.175,28.025,canopy
Chrysobalanaceae,Licania,niloi,3.77,25.75,canopy
Fabaceae,Dipteryx,punctata,4.7025,30,canopy
Chrysobalanaceae,Licania,unguiculata,27.12,24.575,canopy
Malvaceae,Catostemma,albuquerquei,11.68,26.275,canopy
Lauraceae,Sextonia,rubra,13.7525,30.1,canopy
Lecythidaceae,Lecythis,gracieana,7.4475,26.3,canopy
Fabaceae,Dipteryx,magnifica,29.285,30,canopy
Fabaceae,Hymenaea,parvifolia,26.095,19.475,canopy
Fabaceae,Pseudopiptadenia,psilostachya,26.55,24,canopy
Sapotaceae,Chrysophyllum,wilsonii,6.48,28,canopy
Moraceae,Brosimum,acutifolium,21.18,25.7,canopy
Lauraceae,Ocotea,cinerea,5.3,27.35,canopy
Vochysiaceae,Qualea,homosepala,3.3,29,canopy
Moraceae,Clarisia,racemosa,29.64,30.15,canopy
Proteaceae,Panopsis,sessilifolia,3.2,29,canopy
Apocynaceae,Aspidosperma,aracanga,25.9,NA,canopy
Vochysiaceae,Ruizterania,cassiquiarensis,29.605,NA,canopy
Clusiaceae,Moronobea,coccinea,23.515,28,canopy
Lecythidaceae,Cariniana,decandra,20.3875,26.65,canopy
Elaeocarpaceae,Sloanea,eichleri,6.9,27.675,canopy
Vochysiaceae,Qualea,paraensis,29,29,canopy
Myristicaceae,Osteophloeum,platyspermum,9.5625,28.525,canopy
Sapotaceae,Chrysophyllum,pomiferum,17.9,29.15,canopy
Lecythidaceae,Lecythis,retusa,25.835,17,canopy
Fabaceae,Enterolobium,schomburgkii,16,28.8,canopy
Fabaceae,Pseudopiptadenia,suaveolens,13.3,28.725,canopy
